carat,x,y,z,price,color_,clarity_,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.71,6.05,5.87,3.4,2198,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.75,5.88,5.75,3.63,3822,2,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.7,5.75,5.85,3.43,2234,4,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.75,7.8,7.84,4.74,12416,5,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.18,6.94,6.9,4.13,9537,3,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,6.36,6.4,3.95,4346,6,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.81,5.98,6.0,3.64,3398,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.77,7.76,7.68,4.8,13085,5,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.3,7.03,7.06,4.33,5728,6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.33,4.49,4.52,2.71,698,4,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.9,6.08,6.17,3.8,6466,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.01,6.41,6.34,4.04,6968,3,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.22,6.8,6.87,4.21,3663,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.36,4.59,4.54,2.88,851,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.22,6.82,6.87,4.24,4793,6,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2.01,8.03,8.08,5.05,18186,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,6.35,6.3,3.97,5544,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,6.18,6.13,4.07,3472,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.3,4.3,4.28,2.68,778,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.01,6.36,6.34,4.0,7665,3,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.08,6.74,6.71,3.99,4536,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.38,4.67,4.71,2.86,943,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,6.35,6.31,4.04,7134,3,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.56,5.37,5.33,3.24,2066,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.74,5.71,5.74,3.61,2753,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.91,6.13,6.09,3.92,3287,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.01,6.37,6.41,4.03,4432,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.34,4.48,4.52,2.79,805,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.46,4.93,4.96,3.05,1372,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8,5.84,5.87,3.74,3013,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.16,6.82,6.78,4.08,4872,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.21,6.81,6.74,4.24,6261,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.47,4.98,5.0,3.09,2378,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.54,5.3,5.28,3.2,1637,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.51,5.13,5.15,3.2,1243,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.59,5.46,5.41,3.3,1572,4,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.33,4.6,4.62,2.64,574,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.01,6.36,6.39,4.0,7652,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7,5.74,5.68,3.5,2423,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
